region,unit_id,global_key,best_channel_1idx,n_spikes,mean_fr_hz,snr,isi_violation,firing_rate,presence_ratio,num_spikes_qm,auto_qc_pass,auto_qc_fail_reasons
ATL,14,ATL_unit14,39,23,0.155,25.1857,,0.155,0.5,23,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,15,ATL_unit15,39,45,0.3033,16.88,,0.3033,1.0,45,False,isi>0.02;n_spikes<100;num_spikes_qm_low
ATL,16,ATL_unit16,39,37,0.2493,18.9347,,0.2493,0.5,37,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,17,ATL_unit17,39,37,0.2493,24.2453,,0.2493,0.5,37,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,18,ATL_unit18,39,10,0.0674,35.6685,,0.0674,0.5,10,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,19,ATL_unit19,39,26,0.1752,17.0381,,0.1752,0.0,26,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,20,ATL_unit20,39,32,0.2157,20.1794,,0.2157,0.5,32,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,21,ATL_unit21,47,24,0.1617,14.6509,,0.1617,0.5,24,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,22,ATL_unit22,39,20,0.1348,18.5198,,0.1348,0.5,20,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,23,ATL_unit23,39,19,0.128,15.5366,,0.128,0.5,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,24,ATL_unit24,40,34,0.2291,13.8019,,0.2291,0.5,34,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,25,ATL_unit25,40,15,0.1011,12.6553,,0.1011,0.5,15,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,26,ATL_unit26,40,16,0.1078,18.9698,,0.1078,0.5,16,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,27,ATL_unit27,40,21,0.1415,13.4438,,0.1415,0.5,21,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,28,ATL_unit28,40,64,0.4313,13.2237,,0.4313,1.0,64,False,isi>0.02;n_spikes<100;num_spikes_qm_low
ATL,29,ATL_unit29,40,25,0.1685,15.2705,,0.1685,0.5,25,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,30,ATL_unit30,40,54,0.3639,15.1128,,0.3639,0.5,54,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,31,ATL_unit31,40,14,0.0943,14.528,,0.0943,0.0,14,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,32,ATL_unit32,40,19,0.128,19.2984,,0.128,0.0,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,33,ATL_unit33,40,201,1.3546,15.0865,,1.3546,0.5,201,False,isi>0.02;presence<0.8
ATL,34,ATL_unit34,40,25,0.1685,14.2586,,0.1685,0.5,25,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,35,ATL_unit35,40,47,0.3167,12.3596,,0.3167,0.5,47,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,36,ATL_unit36,40,63,0.4246,15.967,,0.4246,0.5,63,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,37,ATL_unit37,40,40,0.2696,15.3625,,0.2696,0.5,40,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,38,ATL_unit38,40,29,0.1954,12.9313,,0.1954,0.5,29,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,39,ATL_unit39,40,52,0.3504,18.5066,,0.3504,0.5,52,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,40,ATL_unit40,40,45,0.3033,12.3465,,0.3033,0.5,45,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,41,ATL_unit41,40,19,0.128,12.0705,,0.128,0.5,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,42,ATL_unit42,40,50,0.337,21.4503,,0.337,0.0,50,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,43,ATL_unit43,40,23,0.155,19.4232,,0.155,0.0,23,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,44,ATL_unit44,43,214,1.4422,10.5468,,1.4422,0.5,214,False,isi>0.02;presence<0.8
ATL,45,ATL_unit45,45,26,0.1752,8.7507,,0.1752,0.5,26,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,46,ATL_unit46,38,41,0.2763,22.5134,,0.2763,0.5,41,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,47,ATL_unit47,35,10,0.0674,15.3611,,0.0674,0.0,10,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,48,ATL_unit48,43,30,0.2022,13.3768,,0.2022,0.0,30,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,49,ATL_unit49,43,44,0.2965,9.8461,,0.2965,0.5,44,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,50,ATL_unit50,47,17,0.1146,28.1811,,0.1146,0.0,17,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,51,ATL_unit51,47,19,0.128,20.9273,,0.128,0.0,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,52,ATL_unit52,43,38,0.2561,14.62,,0.2561,0.0,38,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,53,ATL_unit53,38,36,0.2426,11.8036,,0.2426,0.5,36,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,54,ATL_unit54,38,53,0.3572,23.0188,,0.3572,0.5,53,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,55,ATL_unit55,39,47,0.3167,13.3792,,0.3167,0.0,47,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,56,ATL_unit56,43,28,0.1887,14.1182,,0.1887,0.5,28,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,57,ATL_unit57,40,46,0.31,13.0331,,0.31,0.5,46,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,58,ATL_unit58,40,49,0.3302,10.2373,,0.3302,0.5,49,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,59,ATL_unit59,43,27,0.182,13.2276,,0.182,0.0,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,60,ATL_unit60,38,64,0.4313,13.2081,,0.4313,0.0,64,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,61,ATL_unit61,40,27,0.182,10.9403,,0.182,0.5,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,62,ATL_unit62,43,37,0.2493,14.8008,,0.2493,0.0,37,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,63,ATL_unit63,35,27,0.182,8.5052,,0.182,0.0,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,64,ATL_unit64,40,54,0.3639,12.0081,,0.3639,0.5,54,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,65,ATL_unit65,44,45,0.3033,11.5543,,0.3033,1.0,45,False,isi>0.02;n_spikes<100;num_spikes_qm_low
ATL,66,ATL_unit66,44,34,0.2291,11.3024,,0.2291,1.0,34,False,isi>0.02;n_spikes<100;num_spikes_qm_low
ATL,67,ATL_unit67,44,42,0.283,11.9112,,0.283,0.5,42,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,68,ATL_unit68,44,50,0.337,13.1161,,0.337,0.5,50,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,69,ATL_unit69,44,14,0.0943,13.2463,,0.0943,0.5,14,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,70,ATL_unit70,44,58,0.3909,14.6024,,0.3909,0.5,58,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,71,ATL_unit71,44,48,0.3235,9.9672,,0.3235,0.5,48,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,72,ATL_unit72,39,27,0.182,15.6867,,0.182,0.5,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,73,ATL_unit73,44,22,0.1483,15.9711,,0.1483,0.5,22,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,74,ATL_unit74,44,24,0.1617,12.1967,,0.1617,0.5,24,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,75,ATL_unit75,44,24,0.1617,11.8104,,0.1617,0.5,24,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,76,ATL_unit76,44,36,0.2426,14.7451,,0.2426,0.5,36,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,77,ATL_unit77,44,29,0.1954,13.452,,0.1954,0.0,29,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,78,ATL_unit78,45,71,0.4785,14.8925,,0.4785,0.5,71,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,79,ATL_unit79,45,14,0.0943,17.9012,,0.0943,0.5,14,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,80,ATL_unit80,46,52,0.3504,20.9918,,0.3504,1.0,52,False,isi>0.02;n_spikes<100;num_spikes_qm_low
ATL,81,ATL_unit81,38,14,0.0943,8.5596,,0.0943,0.5,14,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,82,ATL_unit82,40,10,0.0674,11.3444,,0.0674,0.5,10,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,83,ATL_unit83,35,13,0.0876,16.0831,,0.0876,0.5,13,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,84,ATL_unit84,40,11,0.0741,10.3555,,0.0741,0.5,11,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,85,ATL_unit85,40,27,0.182,12.0245,,0.182,0.0,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,86,ATL_unit86,45,41,0.2763,9.924,,0.2763,0.5,41,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,87,ATL_unit87,47,184,1.24,12.9339,,1.24,1.0,184,False,isi>0.02
ATL,88,ATL_unit88,47,11,0.0741,16.4801,,0.0741,0.5,11,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,89,ATL_unit89,47,57,0.3841,18.1209,,0.3841,0.5,57,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,90,ATL_unit90,35,19,0.128,10.3467,,0.128,0.5,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,91,ATL_unit91,38,42,0.283,10.8714,,0.283,0.5,42,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,92,ATL_unit92,35,63,0.4246,16.1493,,0.4246,0.0,63,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,93,ATL_unit93,47,28,0.1887,28.2707,,0.1887,0.0,28,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,94,ATL_unit94,45,10,0.0674,18.1142,,0.0674,0.0,10,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,95,ATL_unit95,47,75,0.5054,15.1799,,0.5054,0.5,75,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,96,ATL_unit96,47,40,0.2696,17.7981,,0.2696,0.5,40,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,97,ATL_unit97,47,59,0.3976,14.0681,,0.3976,0.0,59,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,98,ATL_unit98,45,46,0.31,17.9372,,0.31,0.0,46,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,99,ATL_unit99,40,22,0.1483,12.6652,,0.1483,0.0,22,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,100,ATL_unit100,47,77,0.5189,19.8066,,0.5189,1.0,77,False,isi>0.02;n_spikes<100;num_spikes_qm_low
ATL,101,ATL_unit101,47,51,0.3437,26.7375,,0.3437,0.5,51,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,102,ATL_unit102,44,62,0.4178,13.2379,,0.4178,0.0,62,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,103,ATL_unit103,38,17,0.1146,5.9991,,0.1146,0.5,17,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,1,HG_unit1,19,44,0.2965,11.7748,,0.2965,0.5,44,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,2,HG_unit2,22,19,0.128,7.7136,,0.128,0.5,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,3,HG_unit3,31,32,0.2157,8.3295,,0.2157,0.5,32,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,4,HG_unit4,24,57,0.3841,5.3753,,0.3841,0.5,57,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,5,HG_unit5,19,44,0.2965,9.7428,,0.2965,0.5,44,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,6,HG_unit6,29,44,0.2965,9.2079,,0.2965,0.5,44,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,7,HG_unit7,22,58,0.3909,8.3542,,0.3909,0.5,58,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,8,HG_unit8,29,17,0.1146,7.8758,,0.1146,0.5,17,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,9,HG_unit9,22,31,0.2089,10.0414,,0.2089,1.0,31,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,10,HG_unit10,22,36,0.2426,12.2901,,0.2426,0.5,36,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,11,HG_unit11,22,17,0.1146,15.6415,,0.1146,0.5,17,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,12,HG_unit12,22,30,0.2022,13.8242,,0.2022,0.5,30,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,13,HG_unit13,22,12,0.0809,16.8463,,0.0809,0.5,12,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,14,HG_unit14,22,12,0.0809,15.4552,,0.0809,0.5,12,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,15,HG_unit15,23,70,0.4717,11.9677,,0.4717,1.0,70,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,16,HG_unit16,23,60,0.4043,11.423,,0.4043,1.0,60,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,17,HG_unit17,23,13,0.0876,17.7999,,0.0876,0.5,13,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,18,HG_unit18,23,80,0.5391,14.8117,,0.5391,0.5,80,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,19,HG_unit19,23,13,0.0876,26.0375,,0.0876,0.5,13,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,20,HG_unit20,23,32,0.2157,11.0403,,0.2157,0.5,32,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,21,HG_unit21,23,57,0.3841,14.3848,,0.3841,0.5,57,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,22,HG_unit22,23,22,0.1483,10.8696,,0.1483,0.0,22,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,23,HG_unit23,23,29,0.1954,11.2817,,0.1954,0.5,29,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,24,HG_unit24,24,36,0.2426,12.4466,,0.2426,1.0,36,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,25,HG_unit25,24,27,0.182,10.7464,,0.182,0.5,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,26,HG_unit26,24,16,0.1078,10.515,,0.1078,0.0,16,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,27,HG_unit27,24,22,0.1483,11.4612,,0.1483,0.0,22,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,28,HG_unit28,24,29,0.1954,13.56,,0.1954,0.5,29,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,29,HG_unit29,24,46,0.31,11.9239,,0.31,0.5,46,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,30,HG_unit30,24,21,0.1415,9.5937,,0.1415,0.5,21,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,31,HG_unit31,24,59,0.3976,13.0394,,0.3976,0.0,59,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,32,HG_unit32,24,31,0.2089,12.0809,,0.2089,0.5,31,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,33,HG_unit33,27,69,0.465,14.3923,,0.465,0.5,69,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,34,HG_unit34,28,81,0.5459,8.672,,0.5459,1.0,81,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,35,HG_unit35,28,55,0.3707,11.5565,,0.3707,1.0,55,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,36,HG_unit36,28,46,0.31,8.5477,,0.31,0.5,46,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,37,HG_unit37,28,50,0.337,9.6169,,0.337,0.5,50,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,38,HG_unit38,28,23,0.155,9.9713,,0.155,1.0,23,False,isi>0.02;n_spikes<100;fr<0.2;firing_rate_qm_low;num_spikes_qm_low
HG,39,HG_unit39,28,49,0.3302,11.2021,,0.3302,0.5,49,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,40,HG_unit40,28,32,0.2157,10.6489,,0.2157,0.0,32,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,41,HG_unit41,19,44,0.2965,11.1088,,0.2965,0.0,44,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,42,HG_unit42,31,28,0.1887,13.1597,,0.1887,0.0,28,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,43,HG_unit43,28,27,0.182,11.9108,,0.182,0.0,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,44,HG_unit44,28,28,0.1887,10.3598,,0.1887,0.0,28,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,45,HG_unit45,29,146,0.9839,10.462,,0.9839,0.5,146,False,isi>0.02;presence<0.8
HG,46,HG_unit46,22,10,0.0674,13.306,,0.0674,0.0,10,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,47,HG_unit47,23,28,0.1887,12.9805,,0.1887,0.5,28,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,48,HG_unit48,22,22,0.1483,11.1619,,0.1483,0.5,22,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,49,HG_unit49,29,42,0.283,12.6725,,0.283,0.5,42,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,50,HG_unit50,29,30,0.2022,9.8081,,0.2022,0.5,30,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,51,HG_unit51,30,68,0.4583,13.6134,,0.4583,1.0,68,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,52,HG_unit52,31,76,0.5122,11.2601,,0.5122,1.0,76,False,isi>0.02;n_spikes<100;num_spikes_qm_low
HG,53,HG_unit53,31,12,0.0809,10.478,,0.0809,0.0,12,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
HG,54,HG_unit54,31,57,0.3841,11.9661,,0.3841,0.5,57,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,55,HG_unit55,31,50,0.337,15.077,,0.337,0.0,50,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,56,HG_unit56,31,35,0.2359,15.9633,,0.2359,0.0,35,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
HG,57,HG_unit57,28,38,0.2561,6.6889,,0.2561,1.0,38,False,isi>0.02;n_spikes<100;num_spikes_qm_low
VMPFC,1,VMPFC_unit1,50,3,0.0202,14.6586,,0.0202,0.5,3,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
VMPFC,2,VMPFC_unit2,50,8,0.0539,13.0773,,0.0539,1.0,8,False,isi>0.02;n_spikes<100;fr<0.2;firing_rate_qm_low;num_spikes_qm_low
VMPFC,3,VMPFC_unit3,51,13,0.0876,13.1927,,0.0876,0.5,13,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
VMPFC,4,VMPFC_unit4,63,30,0.2022,9.9498,,0.2022,0.5,30,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
VMPFC,5,VMPFC_unit5,51,49,0.3302,14.4095,,0.3302,0.5,49,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
VMPFC,6,VMPFC_unit6,51,24,0.1617,13.1417,,0.1617,0.5,24,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
VMPFC,7,VMPFC_unit7,61,37,0.2493,8.669,,0.2493,0.5,37,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
VMPFC,8,VMPFC_unit8,54,16,0.1078,16.2122,,0.1078,0.0,16,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
VMPFC,9,VMPFC_unit9,61,51,0.3437,6.9602,,0.3437,0.5,51,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
VMPFC,10,VMPFC_unit10,51,35,0.2359,10.5156,,0.2359,0.5,35,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
