region,unit_id,global_key,best_channel_1idx,n_spikes,mean_fr_hz,snr,isi_violation,firing_rate,presence_ratio,num_spikes_qm,auto_qc_pass,auto_qc_fail_reasons
ATL,1,ATL_unit1,33,4,0.027,15.5841,,0.027,0.5,4,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,2,ATL_unit2,34,3,0.0202,16.1632,,0.0202,0.5,3,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,3,ATL_unit3,35,32,0.2157,17.5338,,0.2157,0.5,32,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,4,ATL_unit4,35,32,0.2157,14.384,,0.2157,0.5,32,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,5,ATL_unit5,35,19,0.128,12.016,,0.128,0.0,19,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,6,ATL_unit6,38,24,0.1617,14.7576,,0.1617,0.0,24,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,7,ATL_unit7,45,21,0.1415,7.8264,,0.1415,0.5,21,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,8,ATL_unit8,38,15,0.1011,14.4841,,0.1011,0.5,15,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,9,ATL_unit9,38,27,0.182,21.8008,,0.182,0.0,27,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,10,ATL_unit10,38,24,0.1617,15.5903,,0.1617,0.5,24,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
ATL,11,ATL_unit11,38,55,0.3707,17.2848,,0.3707,0.0,55,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,12,ATL_unit12,38,54,0.3639,15.6318,,0.3639,0.5,54,False,isi>0.02;n_spikes<100;presence<0.8;num_spikes_qm_low
ATL,13,ATL_unit13,35,20,0.1348,10.0321,,0.1348,0.5,20,False,isi>0.02;n_spikes<100;fr<0.2;presence<0.8;firing_rate_qm_low;num_spikes_qm_low
